#GADA 1.0
# NumArgs = 12 
# CallStr = GADA -a 0.8 -T 5 -M 3 -s -0.2 -b 0.0 -c 
# Parsing Arguments: 
# a= 0.8 
# T= 5 
# MinLen= 3 
# sigma2= -0.2 
# BaseAmp= 0 
# -c option activated to classify segments into altered states
#Parameter setting: a=0.8,T=5,MinLen=3,sigma2=-0.2,BaseAmp=0
# Reading M=80000 probes in input file
#      SBL: Converged after 434 iterations within tolerance 1e-010, M=480 
# Overall mean 0.00135799
# Sigma^2=0.207949
# Found 480 breakpoints after SBL
# Kept 440 breakpoints after BE
# Making segments
# BaseAmp=0 
# Classify Segments 
Start	Stop	Lenght	Ampl	State
63109	63194	86	1.05759	G
63195	63280	86	-1.02538	L
63281	63366	86	1.05888	G
63367	63452	86	-1.03018	L
63453	63537	85	0.961547	G
63538	63622	85	-1.05701	L
63623	63694	72	1.00789	G
63695	64837	1143	0.0296539	N
64838	64859	22	0.97012	G
64860	64925	66	-0.993669	L
64926	65326	401	-0.0012119	N
65327	65337	11	0.955205	G
65338	65404	67	-0.986799	L
65405	65852	448	-0.00108254	N
65853	65884	32	-0.96918	L
65885	65948	64	0.999963	G
65949	66425	477	0.0092562	N
66426	66495	70	-0.993993	L
66496	66504	9	0.970485	G
66505	66911	407	-0.00221345	N
66912	66944	33	-1.14816	L
66945	67018	74	0.960734	G
67019	67092	74	-0.930044	L
67093	67166	74	1.06022	G
67167	67239	73	-1.03387	L
67240	67313	74	0.932676	G
67314	67386	73	-1.03524	L
67387	67459	73	1.08064	G
67460	67531	72	-1.11055	L
67532	67544	13	0.951887	G
67545	67945	401	0.033555	N
67946	67964	19	-1.12605	L
67965	68035	71	1.03947	G
68036	68106	71	-1.09201	L
68107	68178	72	0.992702	G
68179	68248	70	-0.956788	L
68249	68319	71	1.02404	G
68320	68390	71	-1.0763	L
68391	68439	49	0.931759	G
68440	69155	716	0.0360752	N
69156	69223	68	-1.00502	L
69224	69290	67	1.0484	G
69291	69359	69	-1.04246	L
69360	69427	68	0.939452	G
69428	69495	68	-1.06759	L
69496	69563	68	1.02173	G
69564	69631	68	-0.990486	L
69632	69698	67	0.911706	G
69699	69765	67	-0.988876	L
